sample_index,flight_id,p_hat,y_true,d_truth_to_center_m,mean_sample_to_center_m,bin_id_equal_width,bin_id_equal_count
353603,24/07/29_TAP555_5715,0.4375,1.0,66.844970703125,150.67425537109375,4,3
129320,24/05/27_DAL206_9663,0.34375,1.0,42.8125,216.2754364013672,3,2
129791,24/10/31_ITY575_5363,0.25,1.0,63.468990325927734,284.42529296875,2,2
231833,24/04/04_EJU75ZA_3270,0.875,1.0,13.860916137695312,62.236732482910156,8,9
93655,24/01/27_DLH66K_1260,0.5625,1.0,15.076886177062988,96.52603149414062,5,6
196881,24/06/30_DLH02K_2070,0.46875,1.0,62.45098114013672,133.59063720703125,4,4
348769,24/05/13_VJT884_7730,0.59375,1.0,58.58380889892578,166.81590270996094,5,6
376641,24/04/08_CFG9AW_1366,0.625,1.0,59.29639434814453,118.7980728149414,6,7
315312,24/01/30_N550TS_5388,0.0,0.0,1543.669921875,1478.4420166015625,0,0
258677,24/07/24_RYR27VA_8706,0.53125,0.0,256.9967041015625,157.484130859375,5,5
21531,24/12/21_EWG12Y_1721,0.28125,1.0,39.18007278442383,217.39956665039062,2,2
103270,24/08/19_DLH8VU_2391,0.53125,1.0,43.061004638671875,248.97021484375,5,5
323920,24/09/19_EWG64BW_8865,0.15625,1.0,98.9350357055664,208.01800537109375,1,1
87074,24/09/19_EWG6HL_1869,0.6875,1.0,11.935373306274414,83.56731414794922,6,8
395896,24/09/13_DLH53U_2445,0.40625,1.0,61.95323181152344,115.77516174316406,4,3
73342,24/12/17_TAY1LA_2582,0.125,0.0,133.65750122070312,232.1976776123047,1,1
189966,24/04/29_DLA5AN_367,0.1875,0.0,182.9660186767578,399.1479797363281,1,1
339688,24/05/08_RYR2850_7950,0.40625,1.0,94.20489501953125,140.01470947265625,4,3
30010,24/10/18_SWR4GT_6982,0.4375,1.0,93.85260772705078,224.72915649414062,4,3
319523,24/04/26_TEU7_8098,0.34375,0.0,992.2860107421875,219.24432373046875,3,2
231202,24/08/29_AFR58KR_1182,0.59375,1.0,30.052038192749023,137.97467041015625,5,6
20272,24/08/23_FDX8_10444,0.625,1.0,3.9151148796081543,115.49524688720703,6,7
368648,24/07/28_NJE467E_5120,0.6875,1.0,12.188621520996094,182.71099853515625,6,8
2502,24/04/29_ITY110_7062,0.59375,1.0,42.21466827392578,113.2254867553711,5,6
58172,24/06/24_SAS4842_5933,0.375,0.0,104.88147735595703,208.87838745117188,3,3
14502,24/06/06_TAP931L_5471,0.59375,1.0,39.940582275390625,103.47077941894531,5,6
283811,24/09/23_EXS1543_2905,0.40625,1.0,54.395111083984375,197.96331787109375,4,3
287675,24/10/31_BAW63VP_2659,0.6875,1.0,6.103277683258057,79.85484313964844,6,8
333766,24/02/12_BAW66GA_2168,0.65625,1.0,23.6352481842041,73.9758071899414,6,8
376908,24/10/24_MSR800_013,0.40625,1.0,42.35637664794922,174.05682373046875,4,3
125562,24/12/17_AFR25VW_877,0.4375,0.0,214.98287963867188,201.44180297851562,4,3
71888,24/05/08_RYR6JJ_4675,0.53125,1.0,25.559978485107422,114.13571166992188,5,5
318697,24/08/13_DLH44M_8897,0.34375,0.0,160.6893768310547,195.92459106445312,3,2
237979,24/05/23_TOM5XM_3337,0.625,1.0,70.99647521972656,96.74404907226562,6,7
125047,24/05/25_LGL3N_6699,0.4375,1.0,78.25039672851562,188.7598876953125,4,3
278760,24/07/10_RYR1YF_8238,0.59375,1.0,59.016021728515625,241.21286010742188,5,6
330315,24/08/19_UNI131_2657,0.1875,1.0,50.25761795043945,262.6240234375,1,1
38113,24/09/23_EJU98TM_3670,0.65625,1.0,27.25,82.29837799072266,6,8
238709,24/08/23_HRN121_3136,0.625,1.0,24.25386619567871,104.68649291992188,6,7
295621,24/04/29_VOE56YH_587,0.0,0.0,209.67044067382812,344.8847351074219,0,0
285419,24/07/29_RYR2256_8177,0.6875,1.0,3.181980609893799,75.86654663085938,6,8
96435,24/10/16_UAE7V_8519,0.90625,1.0,53.85005187988281,59.99903106689453,9,9
365645,24/07/24_CFG1TK_2174,0.0,0.0,728.7642822265625,963.960693359375,0,0
289434,24/07/10_SAS4824_4902,0.75,1.0,56.460716247558594,104.78443908691406,7,9
217162,24/08/08_CFG6VX_1911,0.0,0.0,134.8540802001953,290.8597412109375,0,0
210808,24/08/30_EZS54DG_6736,0.40625,0.0,346.599365234375,157.43545532226562,4,3
122875,24/06/19_DLH04N_2501,0.40625,1.0,3.9051249027252197,128.52691650390625,4,3
242014,24/04/26_TAR649_085,0.59375,1.0,45.125694274902344,94.1329345703125,5,6
75321,24/08/29_SVA122_9965,0.15625,0.0,256.69012451171875,338.3263854980469,1,1
349497,24/08/21_SWR6LY_6110,0.46875,1.0,89.9504165649414,152.14089965820312,4,4
32427,24/09/05_NOS861_7251,0.34375,1.0,78.0877914428711,181.0709228515625,3,2
243260,24/12/17_DLH506_1195,0.625,1.0,48.858211517333984,99.92683410644531,6,7
13925,24/10/31_LGL6996_5665,0.75,0.0,122.9865951538086,142.23146057128906,7,9
10245,24/07/12_GPX4LB_4206,0.375,1.0,73.49319458007812,179.97967529296875,3,3
212259,24/03/18_RYR6XH_5439,0.5,0.0,115.61385345458984,160.65335083007812,5,4
248772,24/09/18_EWG8593_2093,0.78125,1.0,65.17860412597656,112.25273132324219,7,9
277499,24/07/12_EJU79FL_3616,0.03125,0.0,586.7091064453125,916.8515625,0,1
260468,24/09/23_DLH55U_2353,0.75,1.0,78.41087341308594,130.04953002929688,7,9
360778,24/08/21_AUA2651_4298,0.59375,1.0,6.241243839263916,91.49617004394531,5,6
35418,24/05/08_SWR105Z_5358,0.65625,1.0,70.21573638916016,346.38006591796875,6,8
135980,24/12/20_FRF151_3941,0.25,0.0,153.2685546875,180.63706970214844,2,2
154301,24/10/18_EWG45AK_10534,0.375,0.0,2299.542236328125,255.36595153808594,3,3
136765,24/08/29_EZS74GN_6014,0.21875,0.0,100.30399322509766,350.3081970214844,2,2
383554,24/02/14_CCA967_5694,0.4375,1.0,35.12588882446289,171.4497833251953,4,3
55451,24/05/25_N148MW_8123,0.4375,0.0,141.90225219726562,213.6051025390625,4,3
180842,24/06/22_WIF6M_4707,0.4375,0.0,102.41192626953125,110.16629791259766,4,3
15202,24/05/05_OCN17G_2215,0.03125,0.0,627.6461181640625,501.0049133300781,0,1
55809,24/07/29_DLH7HX_2135,0.40625,0.0,286.0511169433594,180.73219299316406,4,3
83846,24/03/18_EJU78QH_2629,0.625,1.0,93.3126449584961,171.8725128173828,6,7
307570,24/09/19_NSZ5610_5110,0.78125,1.0,60.70883560180664,231.83963012695312,7,9
354486,24/08/21_SUI721_6842,0.40625,1.0,18.298309326171875,156.892822265625,4,3
186523,24/11/22_ETD8MY_6537,0.46875,0.0,189.90786743164062,163.90692138671875,4,4
376619,24/06/06_LBT508_091,0.65625,1.0,42.29528045654297,91.19931030273438,6,8
17321,24/01/27_VLG8430_535,0.65625,1.0,76.14993286132812,88.95865631103516,6,8
312706,24/03/31_RYR82KX_4840,0.65625,1.0,30.900293350219727,99.27763366699219,6,8
157390,24/05/25_DLH57N_1840,0.5,1.0,58.15550231933594,177.27273559570312,5,4
333516,24/10/24_EWG33W_1766,0.4375,1.0,65.8378677368164,193.871826171875,4,3
349491,24/07/24_RYR84AH_8975,0.8125,1.0,54.82771301269531,49.290706634521484,8,9
272184,24/05/25_CFG7VM_1695,0.59375,1.0,24.502870559692383,88.43898010253906,5,6
354028,24/05/31_TKJ3SW_6451,0.65625,1.0,19.456682205200195,144.5053253173828,6,8
152979,24/09/23_DLH1835_2212,0.625,0.0,106.03095245361328,141.0160675048828,6,7
80323,24/01/09_SWR8AC_2278,0.4375,0.0,237.89768981933594,145.86886596679688,4,3
315650,24/08/08_RYR74JR_8613,0.84375,1.0,48.54121780395508,100.29073333740234,8,9
163473,24/06/18_RYR605Q_7764,0.75,1.0,50.69331741333008,85.40674591064453,7,9
291414,24/09/18_EZY63EA_3136,0.6875,1.0,17.163278579711914,83.99980163574219,6,8
58231,24/07/29_MSC2950_034,0.6875,1.0,23.723669052124023,95.26337432861328,6,8
306865,24/02/14_WMT644_5378,0.1875,0.0,109.00831604003906,296.08160400390625,1,1
347960,24/08/19_EJU93RL_4417,0.65625,1.0,82.83615112304688,95.52259826660156,6,8
48079,24/07/24_EJU59BC_4138,0.71875,1.0,36.100555419921875,87.98912048339844,7,8
254523,24/12/20_EWG1ME_1787,0.21875,0.0,139.4309844970703,223.65093994140625,2,2
17739,24/05/27_SVW33IO_7796,0.65625,1.0,88.5025634765625,81.75230407714844,6,8
235152,24/10/20_DLH88P_3538,0.8125,1.0,15.910393714904785,63.3104133605957,8,9
230563,24/04/04_AFR61WJ_1502,0.59375,0.0,691.0150756835938,80.87727355957031,5,6
119780,24/07/12_TRA873K_4632,0.34375,1.0,82.5311508178711,256.35247802734375,3,2
370932,24/05/08_RYR3VZ_6756,0.6875,1.0,24.341644287109375,83.83306884765625,6,8
378309,24/09/13_SVW22ES_7940,0.84375,1.0,63.12104034423828,63.195369720458984,8,9
165449,24/12/20_GEC8265_2196,0.78125,0.0,931.3364868164062,121.10244750976562,7,9
281153,24/05/05_DLH77M_2271,0.625,1.0,41.37934112548828,122.45785522460938,6,7
